"Location_Name","Map_ID","X_coord","Y_coord","Z_coord"
"Elwynn Forest: Forest's Edge",0,-9646.46,679.589,37.4136
"Elwynn Forest: Stonefiled Farm",0,-9964.72,391.509,35.6555
"Elwynn Forest: Maclure Vineyards",0,-9881.4,88.8972,33.3196
"Elwynn Forest: Crystal Lake",0,-9462.99,-161.312,60.7274
"Elwynn Forest: Brackwell Pumpkin Patch",0,-9769.82,-811.712,40.9564
"Elwynn Forest: Eastvale Logging Camp",0,-9549,-1407.04,54.7673
"Elwynn Forest: Hero's Vigil",0,-9136.28,-1053.89,70.624
"Elwynn Forest: Stone Cairn Lake",0,-9325.33,-1038.92,65.3535
"Hillsbrad Foothills: Nethander Stead",0,-898.266,-1044.33,30.3478
"Hillsbrad Foothills: Unknown Dwarf Fortress",0,-1266.15,-1198.95,40.1765
"Hillsbrad Foothills: Durnholde Keep",0,-489.832,-1391.35,53.3854
"Hillsbrad Foothills: Southshore Human Harbor Town",0,-821.604,-544.654,15.0387
"Hillsbrad Foothills: Western Strand",0,-1019.67,-359.442,5.13463
"Hillsbrad Foothills: Eastern Strand",0,-1234.91,-943.205,8.62585
"Hillsbrad Foothills: Hillsbrad Fields Human Town",0,-501.505,91.4121,59.0582
"Hillsbrad Foothills: Unknown Mine",0,-870.601,233.102,9.93092
"Hillsbrad Foothills: Tarren Mill",0,-28.1484,-899.243,56.0704
"Hinterlands: Seradene Night Elf Portal and Giant World Tree",0,724.846,-3996.11,149.735
"Hinterlands: Skulk Rock",0,362.039,-3796.03,153.998
"Hinterlands: Overlook Cliffs",0,-69.8514,-4536,7.28923
"Hinterlands: Jintha'Alor",0,-678.757,-4018.61,238.351
"Hinterlands: Altar of Zul",0,-295.384,-3459.12,194.005
"Hinterlands: Shadra'Alor",0,-464.208,-2837.23,110.073
"Hinterlands: Quel'Danil Night Elf Lodge",0,266.941,-2751.41,122.544
"Hinterlands: Zun'Watha",0,-35.7245,-2479.51,120.423
"Hinterlands: Aerie Peak",0,327.814,-1959.99,197.724
"Loch Modan: Thelsamar",0,-5335.61,-2982.58,332.669
"Loch Modan: Loch Lake",0,-5201.86,-3136.59,298.761
"Loch Modan: Wreck from Battle",0,-4939.1,-3423.74,305.595
"Loch Modan: Mo'Grosh Stronghold",0,-4871.78,-4025.77,313.141
"Loch Modan: Purple Night Elf Building",0,-5675.42,-4244.87,407.002
"Loch Modan: Ironband's Excavation Site",0,-5755.53,-3998.42,330.436
"Loch Modan: Stonewrough Dam",0,-4771.99,-3329.01,345.504
"Loch Modan: Dun Algaz",0,-4231.86,-2361.37,204.069
"Searing Gorge: Cauldron",0,-6892.24,-1342.38,239.913
"Searing Gorge: Blackrock Mountain",0,-7317.34,-1072.33,277.069
"Searing Gorge: Grimeslit Dig Site",0,-6986.92,-1705.54,241.667
"Silverpine Forest: Ambermill",0,-126.954,815.624,66.0224
"Silverpine Forest: Pyrewood Village",0,-416.466,1543.87,17.5941
"Silverpine Forest: Shadowfang Keep",0,-202.557,1666.88,79.7641
"Silverpine Forest: South Tide's Run",0,-577.865,1807.08,8.2492
"Silverpine Forest: Greymane Wall",0,-757.376,1527.28,17.2465
"Silverpine Forest: Behind Greymane Wall Unfinished Location",0,-987.449,1585.69,53.4298
"Silverpine Forest: Mine",0,374.222,1083.9,106.509
"Silverpine Forest: Sepulcher",0,507.784,1611.33,124.921
"Silverpine Forest: Olsen's Farthing",0,134.209,1496.64,114.394
"Silverpine Forest: Decrepit Fairy",0,675.698,974.873,34.8849
"Silverpine Forest: Lordamere Lake",0,762.653,909.072,31.2142
"Silverpine Forest: Fenris Isle",0,731.866,727.793,37.0975
"Silverpine Forest: Fenris Isle Fortress Ruins",0,960.45,689.611,59.7365
"Silverpine Forest: Dawning Isles",0,982.34,201.239,34.9509
"Silverpine Forest: Malden's Orchard",0,1414.28,1073.22,52.4649
"Silverpine Forest: Ivar Patch",0,1285.69,1242.33,52.6914
"Silverpine Forest: Valgan's Field",0,964.877,1238.75,48.0979
"Silverpine Forest: Dead Field",0,1035.91,1540.85,30.525
"Silverpine Forest: Skittering Dark",0,1293.65,1957.71,19.5619
"Silverpine Forest: North Tide's Run",0,873.391,1852.5,5.0548
"Swamp of Sorrows: Misty Valley",0,-10103.4,-2431.61,28.4491
"Swamp of Sorrows: Stonard Orc Outpost",0,-10452.5,-3263.59,20.1782
"Swamp of Sorrows: Fallow Sanctuary Murloc Outpost",0,-9980.38,-3568.28,22.0569
"Swamp of Sorrows: Mistyreed Strand",0,-10022.2,-4266.67,7.26064
"Swamp of Sorrows: Pool of Tears",0,-10303.5,-3972.28,20.2882
"Swamp of Sorrows: Sunken Temple",0,-10349.1,-3849.67,-25.6078
"Trisfal Glades: North Coast",0,2955.79,99.8215,3.32947
"Trisfal Glades: Ruins of Lordaeron",0,1832.44,236.426,60.4171
"Trisfal Glades: Undercity Trade Quarter",0,1586.48,239.562,-52.149
"Trisfal Glades: Undercity Caves",0,1614.68,643.289,37.0547
"Trisfal Glades: Undercity War Quarter",0,1658.95,303.76,-42.6923
"Trisfal Glades: Undercity Magic Quarter",0,1786.82,47.9279,-29.1457
"Trisfal Glades: Undercity Rogue's Quarter",0,1466.11,49.6445,-62.2932
"Trisfal Glades: Undercity Apothecarium",0,1410.31,430.512,-80.3588
"Western Plaguelands: Ruins of Anderhol",0,1386.47,-1518.8,72.4034
"Western Plaguelands: Sorrow Hill",0,1064.09,-1718.04,61.1348
"Western Plaguelands: Paladin Statue",0,981.477,-1821.84,80.4872
"Western Plaguelands: Gahrron's Withering",0,1738.52,-2319.93,59.5751
"Western Plaguelands: Writhing Haunt",0,1487.77,-1884.87,59.2039
"Western Plaguelands: Dalson's Tears",0,1835.04,-1568.1,59.1818
"Western Plaguelands: Felstone Field",0,1782.26,-1211.93,59.4057
"Western Plaguelands: Northridge Lumber Camp",0,2423.42,-1646.44,60.5098
"Western Plaguelands: Hearthglenn",0,2918.72,-1439.39,150.782
"Western Plaguelands: Darrowmere Lake",0,1234.83,-2118.49,50.8011
"Western Plaguelands: Caer Darrow Dark Portal",0,1125.31,-2541.35,78.3562
"Westfall: Sentinel Hill",0,-10510,1046.89,60.518
"Westfall: Moonbrook Westfall",0,-11018.4,1513.69,43.0152
"Westfall: Alexston Farmsted",0,-10644.8,1681.3,42.0338
"Westfall: Longshore",0,-10513.9,2075.23,12.1819
"Westfall: Saldean's Farm",0,-10171.8,1195.41,36.4345
"Westfall: Westfall Lighthouse",0,-11399.2,1947.85,10.1451
"Westfall: Furlbrow's Pumpkin Patch",0,-9903.53,1245.26,42.0563
"Wetlands: Unknown Big Dwarf City",0,-4053.99,-3450.62,283.383
"Wetlands: Big Broken Gates",0,-3465.16,-3727.56,64.5778
"Wetlands: Weird Flowers",0,-3256.88,-2718.36,9.41205
"Wetlands: Ironbead's Tomb",0,-2849.21,-2220.06,31.3835
"Wetlands: Baradin Bay",0,-2955,-1022.21,10.0919
"Wetlands: Menethil Bay",0,-3754.19,-1087.3,-1.71875
"Wetlands: Menethil Harbor",0,-3740.29,-755.08,10.9643
"Wetlands: Dun Modr",0,-2605.21,-2341.09,83.3551
"Wetlands: Thandol Span",0,-2336.47,-2509.82,85.2212
"Wetlands: Whelgar's Excavation Site",0,-3522.96,-1848.58,25.1502
"Ashenvale: Xavian",1,2867.03,-2595.67,219.911
"Ashenvale: Astrnaar",1,2745.85,-378.33,108.253
"Ashenvale: Night Elf Portal",1,3155,-3702,121
"Ashenvale: Master's Glaive",1,4577.61,419.307,33.7161
"Ashenvale: Kargathia Orc Outpost",1,2439.16,-3500.08,98.5954
"Ashenvale: Satyrnaar",1,2757.59,-2967.58,143.882
"Ashenvale: Moonwell",1,2454.38,-2943.27,124
"Ashenvale: Felfire Hill",1,2114.86,-2998.32,111.396
"Ashenvale: Demon Fall Canyon",1,1626.91,-3057.36,89.4942
"Ashenvale: Dor'danil Barrow Den",1,1775.1,-2679.19,111.666
"Ashenvale: Falfarren River",1,1669.74,-1714.14,97.9564
"Ashenvale: Raynewood Retreat",1,2673.51,-1859.72,188.112
"Barrens: Barrens Merchant Coast",1,-1719.08,-3824.99,12.0836
"Barrens: Barrens Field of Giants",1,-3120.86,-2327.89,93.1243
"Barrens: Bael Modan",1,-4095.7,-2305.74,124.914
"Barrens: Barrens Gnoll Outpost Inside a Giant Beast",1,-4319.38,-2110.38,80.8662
"Barrens: Barrens Great Lift",1,-4619.15,-1850.91,86.0563
"Barrens: Camp Taurajo",1,-2388.95,-1918.82,96.7422
"Barrens: Lushwater Oasis",1,-964.776,-2039.74,81.3491
"Barrens: Stagnant Oasis",1,-1330.17,-3120.07,91.6667
"Barrens: Ratchet Troll Port Outpost",1,-943.935,-3715.49,11.8385
"Barrens: Crossroads",1,-456.263,-2652.7,95.615
"Barrens: Forgotten Pools",1,110.197,-1891.39,93.5444
"Barrens: Sludge Fen",1,1059.54,-3003.53,91.6441
"Desolace: Thunder Axe Fortress",1,-439.192,1708.22,125.856
"Desolace: Sargeron",1,-242.347,764.848,98.7113
"Desolace: Kolkar Village",1,-939.787,1091.4,93.8119
"Desolace: Magram Village",1,-1754.33,967.89,92.5626
"Desolace: Mannoroc Coven",1,-1879.28,1745.49,78.8892
"Desolace: Gelkis Village",1,-2222.47,2522.4,68.4424
"Desolace: Valley of Spears",1,-1482.87,2855.86,112.854
"Desolace: Sar'Theris Strand",1,-592.792,2592.84,15.467
"Desolace: Kodo Graveyard",1,-1305.19,1837.56,55.731
"Desolace: Ghost Walker Post",1,-1156.34,1894.49,86.2854
"Durotar: Echo Isles",1,-1124.19,-5535.02,8.62076
"Durotar: Valley of Trials Bindpoint",1,-636.469,-4243.52,38.1339
"Durotar: Sen'Jin Village",1,-844.586,-4924.29,20.8708
"Durotar: Kolkar Crag",1,-1028.63,-4599.8,25.5756
"Durotar: Tiragarde Keep",1,-250.245,-5070.41,22.5875
"Durotar: Scuttle Coast",1,242.548,-5151.46,1.60441
"Durotar: Razorhill",1,304.762,-4734.97,9.30458
"Durotar: Southfury River",1,114.769,-3758.95,17.8907
"Durotar: Thunder Ridge",1,925.127,-4038.29,-13.338
"Durotar: Orgrimmar",1,1484.36,-4417.03,24.4709
"Durotar: Bladefist Bay",1,1525.73,-4968.13,17.1397
"Durotar: Deadeye Shore",1,918.715,-5115.69,2.85835
"Dustwallow Marsh: Shady Rest Inn",1,-3719.26,-2530.63,69.58
"Dustwallow Marsh: Lost Point",1,-3922.24,-2839.21,44.6212
"Dustwallow Marsh: Den of Flame",1,-4336.82,-3018.67,33.1744
"Dustwallow Marsh: Dragonmurk",1,-4197.56,-2873.76,44.6771
"Dustwallow Marsh: Stonemaul Ruins",1,-4354.46,-3275.34,46.0475
"Dustwallow Marsh: Beezil's Zepellins Wreck",1,-4006.19,-3777.83,40.6804
"Dustwallow Marsh: Brackenwall Orc Village",1,-3129.38,-2864.51,34.8711
"Dustwallow Marsh: North Point Tower",1,-2855.96,-3422.66,36.7473
"Dustwallow Marsh: Sentry Point",1,-3459.39,-4130.3,16.3786
"Dustwallow Marsh: Dreadmurk Shore",1,-3012.72,-4345.51,6.83608
"Dustwallow Marsh: Theramore Isle Cit",1,-3729.36,-4421.41,30.4474
"Felwood: Three Frozen Ancients",1,6200,-1035,387
"Felwood: Zoram's Stand",1,3652.24,928.308,7.01517
"Feralas: Feralas Island Night Elf City",1,-4358.88,3241,12.3636
"Feralas: Feralas",1,-2871.76,1885.29,52.6501
"Feralas: Feralas Ruins",1,-2858.35,2611.48,58.3777
"Feralas: Feralas Coast",1,-4522.22,2038.54,50.1436
"Feralas: Big Feralas Ruins",1,-5566.04,1449.82,20.1135
"Feralas: Tauren Village",1,-4369.68,242.294,25.4133
"Feralas: Thalanaar",1,-4517.1,-780.415,-40.736
"Hyjal",1,4674.88,-3638.37,965.264
"Moonglade",1,7999.68,-2670.2,512.2
"Mulgore: Bloodhoof Tauren Village",1,-2321.74,-378.941,-9.40597
"Mulgore: Tauren Camp Narache",1,-2905.3,-253.768,56.0612
"Mulgore: Brambleblade Ravine",1,-2933.37,-963.993,58.2343
"Mulgore: Red Cloud Mesa",1,-2928.26,-46.1054,188.892
"Mulgore: Bael'Dun Digside",1,-1897.98,400.675,134.787
"Mulgore: Wildmane Water Well",1,-758.744,-149.474,-27.712
"Mulgore: Red Rocks",1,-1008.68,-1115.72,46.046
"Mulgore: Mulgore Mine",1,-1915.66,-1107.44,87.572
"Mulgore: Thunderbluff",1,-1285.417847,176.522873,129.993927
"Silithus: Cenarion hold",1,-6817.02002,818.829956,49.9749184
"Silithus: Floating Crystal Gates",1,-8185.09,1528.22,2.98973
"Silithus: Temple of Ahn'Qiraj Entrance",1,-9678.11,1530.11,43.025
"Stonetalon Mountains: Stonetalon Mountains",1,-239.089,-809.973,8.78944
"Stonetalon Mountains: Greatwood Vale",1,-87.9634,-565.775,-12.1339
"Stonetalon Mountains: Sunrock Retreat",1,-191.661,-301.87,12.2698
"Stonetalon Mountains: Windshear Crag",1,1160.25,51.3229,1.072
"Stonetalon Mountains: Cragpool Lake",1,1618.33,161.796,133.084
"Stonetalon Mountains: Stonetalon Peak",1,2506.3,1470.14,262.722
"Stonetalon Mountains: Charred Vale",1,821.99,1599.07,-21.1896
"Tanaris",1,-6942.47,-4847.1,0.667853
"Teldrassil: Dolanaar",1,9892.57,982.424,1313.83
"Teldrassil: Lake Al'Ameth",1,9477.19,1005.74,1249.01
"Teldrassil: Gnarlpine Hold",1,9114.65,1846.06,1327.5
"Teldrassil: Pools of Arilthrien",1,9561.33,1743,1291.91
"Teldrassil: Darnassus",1,9948.55,2413.59,1327.23
"Teldrassil: Shadowglen",1,10699.8,738.73,1325.881
"Teldrassil: Aldrassil",1,10455.7,798.455,1346.75
"Thousand Needles: Freewood Post",1,-5437.4,-2437.47,89.3083
"Thousand Needles: Screeching Canyon",1,-5467.33,-1633.45,29.4245
"Thousand Needles: Highperch",1,-5000.46,-940.209,-5.58816
"Thousand Needles: Racetrack",1,-6202.16,-3901.68,-60.2858
"Thousand Needles: Rustmaul Dig Site ",1,-6495.56,-3472.69,-58.7786
"Un'goro Crater",1,-7434.56,-1983.21,-270.149
"Winterspring Winterspring",1,6107.620117,-4181.600098,852.322021
"Alterac Valley",30,628.53,-207.67,40.0523
"Arathi Basin",529,1181.62,1183.39,-44.329
"Arathi Highlands",0,-907.865,-3534.24,84.7878
"Arcatraz",530,2872,1555.29,253.159
"Ashenvale",1,3469.43,847.62,6.36476
"Azshara",1,2717.1,-5968.91,107.4
"Azuremyst Isle",530,-4020.48,-13783.3,74.9001
"Barrens",1,90.1003,-1943.44,80.4727
"Barrens Gnoll Outpost",1,-4319.38,-2110.38,81.8662
"Black Morass",269,-2061.12,6635.97,-143.596
"Black Morass Portal",269,-2033.5,7120.97,24.5189
"Black Morass Underground Entrance",269,-2014.12,6583.5,-153.654
"Blackrock Depths",230,596.432,-188.498,-49
"Blackrock Mountain",0,-7317.34,-1072.33,278.069
"Blackrock Spire",229,73.5083,-215.044,53.3869
"Black Temple",530,-3609.74,328.252,38.3077
"Blackwing Lair",469,-7665.55,-1102.49,400.679
"Blade's Edge Mountains",530,1114,7091,124
"Blasted Lands",0,-11204.5,-2730.61,15.8972
"Bloodmyst Isle",530,-2721.68,-12208.9,10.0882
"Botanica",530,3405.48,1489.14,183.838
"Dalaran",0,258,351,42.9076
"Dalaran Ruins",0,386.938,212.299,44.6994
"Darkshore",1,6207.5,-152.833,80.8185
"Deadmines",0,-11156.8,1528.99,20.4102
"Deadwind Pass",0,-10435.4,-1809.28,101
"Deeprun Tram",369,69.2542,10.257,-3.29664
"Desolace",1,-93.1614,1691.15,90.0649
"Dire Maul",429,254.588,-24.7395,-1.56062
"Dun Morogh",0,-5660.33,755.299,390.605
"Durotar",1,341.42,-4684.7,31.9493
"Duskwood",0,-10517,-1158.39,40.0542
"Dustwallow Marsh",1,-3463.26,-4123.13,18.1043
"Elwynn Forest",0,-9465.58,16.8472,66.921
"Exodar",530,-4014.08,-11895.8,-0.99324
"Felwood",1,5483.9,-749.881,335.621
"Feralas",1,-4458.93,243.415,65.6136
"Feralas Coast",1,-4522.22,2038.54,51.1436
"Ghostlands",530,7880,-6193,22
"GM Island",1,16222.6,16265.9,14.2085
"Gnomeregan",0,-5189.22,524.796,389.107
"Gnomeregan Train Depot",0,-4858.27,756.435,245.923
"Gruul's Lair",530,3606.85,5260.49,4.1724
"Hall Of Legends",1,1639.22,-4238.83,57.166
"Hellfire Peninsula",530,-247.451,940.898,85.3784
"Hyjal",1,4674.88,-3638.37,966.264
"Hyjal: Cool Ancient Statue",1,4491.35,-3201.77,1027.57
"Hyjal Plains: Unifinished Location",1,5300.18,-2292.83,945.186
"Ironforge",0,-4981.25,-881.542,502.66
"Karazhan",532,-11106.9,-2001.8,49.8913
"Karazhan Entrance",532,-11106.5,-2001.64,50.8927
"Loch Modan",0,-4939.1,-3423.74,306.595
"Maraudon",349,419.84,11.3365,-131.079
"Molten Core",409,1115.22,-462.959,-94.0148
"Moonglade",1,7999.68,-2670.2,512.2
"Mulgore",1,-1840.75,-456.561,-7.845
"Mulgore Mine",1,-1915.66,-1107.44,88.572
"Nagrand",530,-526,8440,48
"Naxxramas",533,3005.87,-3435.01,294.882
"Netherstorm",530,2280.68,2520.75,116.278
"North Coast",0,2955.79,99.8215,4.32947
"North Sea",530,8481,-5565,2
"Onyxia's Lair",249,29.4548,-68.9609,-5.98402
"Orgrimmar",1,1502.71,-4415.42,22.5512
"Outside Hyjal Cave",1,4817,-1742,1169
"Ragefire Chasm",389,1.7849,-14.3685,-16.5533
"Razorfen Downs",129,2591.99,1101.25,52.8593
"Razorfen Kraul",1,-4464.92,-1666.24,91
"Razorfen Kraul Entrance",47,1941.79,1543.69,82.6615
"Redridge Mountains",0,-9219.37,-2149.94,71.606
"Ruins Of Lordaeron",0,1801.58,237.355,63.7537
"Scarlet Monastery",0,2843.57,-692.134,140.33
"Scarlet Monastery Entrance",189,269.191,-211.791,20.201
"Scholomance",289,199.427,126.464,135.912
"Searing Gorge",0,-7176.63,-937.667,171.206
"Shadowfang Keep",0,-202.557,1666.88,80.7641
"Shadowmoon Valley",530,-2848,3190,9
"Silverpine Forest",0,511.536,1638.63,121.417
"Stonetalon Mountains",1,1145.85,664.812,143
"Stranglethorn Vale",0,-11634.8,-54.0697,14.4439
"Stratholme",0,3176.63,-4039.28,106.464
"Tanaris",1,-7373.69,-2950.2,11.7598
"Teldrassil",1,10708.8,762.092,1322.37
"Tempest Keep",530,3102.07,1523.94,202.859
"Temple Of Atal'Hakkar",0,-10429.4,-3828.84,-30.63
"Terokkar Forest",530,-1177,5336,31
"theexodar",530,-4014.31,-11896.7,-2.01595
"Thousand Needles",1,-4932.53,-1596.05,85.8157
"Tirisfal Glades",0,2019.35,1904.36,106.144
"Uldaman",70,-228.193,46.1602,-45.0186
"Undercity",0,1831.26,238.53,61.52
"Undercity Apothecarium",0,1410.31,430.512,-79.3588
"Undercity Caves",0,1614.68,643.289,38.0547
"Undercity Magic",0,1786.82,47.9279,-28.1457
"Undercity Rogues",0,1466.11,49.6445,-61.2932
"Undercity Trade",0,1586.48,239.562,-51.149
"Undercity War",0,1658.95,303.76,-41.6923
"Un'Goro Crater",1,-7932.49,-2139.61,-229.728
"Wailing Caverns",1,-746.207,-2213.18,15.8909
"Westfall",0,-10645.9,1179.06,49.1781
"Westfall Lighthouse",0,-11399.2,1947.85,11.1451
"Wetlands",0,-4086.36,-2610.95,47.0143
"Zul'Farrak",209,1221.82,840.746,9.97647
"Zul'Gurub",309,-11942.6,-1544.28,40.5945
"Zul'Gurub Village",0,-12332.5,-1859.81,131.321
"Undercity magic quarter   ",0,1786.82,47.9279,-29.1457
"Silvermoon City    ",530,9851,-7500,-4
"Netherstorm     ",530,2342,2642,27
"Blade's Edge Mountains   ",530,1114,7091,123
"North Sea Eversong Woods ",530,8481,-5565,1
"Silvermoon City    ",530,9851,-7500,-4
"Azuremyst Isle    ",530,-4020.4766,-13783.334,73.9001
"Ghostlands     ",530,7880,-6193,21
"Zangarmarsh     ",530,1587,8607,-33
"Nagrand     ",530,-526,8440,47
"Bloodmyst Isle    ",530,-2721.6763,-12208.9297,9.0882
"Terokkar Forest entrance   ",530,-1177,5336,30
"Shadowmoon Valley    ",530,-2848,3190,8
"Top of Black Temple ",530,-3579,-23,275
"Netherstorm     ",530,2280.6804,2520.7498,115.2777
"Karazhan     ",532,-11109.36,-2002.97,49.9
"Top of Karazhan   ",532,-11061.4326,-1957.616,273.2524
"Black Morass    ",269,1116.7,-323.5,68.5
"Nagrand PVP Arena   ",559,4156.1919,2827.0188,51.1325
"Blade's Edge Arena   ",562,6400,256,0
"Old Hyjal    ",560,2000,100,500
"Black Temple    ",564,943,750,310
"Tempest Keep    ",550,0,0,0
